pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2144768,healthy,C3898900,Healthy,0.9904220700263977,18.0,180,58551.0,79269
2144768,healthy,C0452415,Healthy Eating,0.791326642036438,18.0,180,58551.0,79269
2144768,healthy,C2963171,Healthy Aging,0.7907637357711792,18.0,180,58551.0,79269
2144768,healthy,C0018684,Health,0.7903434038162231,18.0,180,58551.0,79269
2144768,healthy,C2986479,Healthy Control,0.7621602416038513,18.0,180,58551.0,79269
2151069,healthy,C3898900,Healthy,0.9904220700263977,12.0,238,9653.0,20078
2151069,healthy,C0452415,Healthy Eating,0.791326642036438,12.0,238,9653.0,20078
2151069,healthy,C2963171,Healthy Aging,0.7907637357711792,12.0,238,9653.0,20078
2151069,healthy,C0018684,Health,0.7903434038162231,12.0,238,9653.0,20078
2151069,healthy,C2986479,Healthy Control,0.7621602416038513,12.0,238,9653.0,20078
2151069,healthy,C3898900,Healthy,0.9904220700263977,12.0,239,9653.0,20078
2151069,healthy,C0452415,Healthy Eating,0.791326642036438,12.0,239,9653.0,20078
2151069,healthy,C2963171,Healthy Aging,0.7907637357711792,12.0,239,9653.0,20078
2151069,healthy,C0018684,Health,0.7903434038162231,12.0,239,9653.0,20078
2151069,healthy,C2986479,Healthy Control,0.7621602416038513,12.0,239,9653.0,20078
2390848,healthy,C3898900,Healthy,0.9904220700263977,15.0,156,22735.0,31351
2390848,healthy,C0452415,Healthy Eating,0.791326642036438,15.0,156,22735.0,31351
2390848,healthy,C2963171,Healthy Aging,0.7907637357711792,15.0,156,22735.0,31351
2390848,healthy,C0018684,Health,0.7903434038162231,15.0,156,22735.0,31351
2390848,healthy,C2986479,Healthy Control,0.7621602416038513,15.0,156,22735.0,31351
2390848,healthy,C3898900,Healthy,0.9904220700263977,15.0,157,22735.0,31351
2390848,healthy,C0452415,Healthy Eating,0.791326642036438,15.0,157,22735.0,31351
2390848,healthy,C2963171,Healthy Aging,0.7907637357711792,15.0,157,22735.0,31351
2390848,healthy,C0018684,Health,0.7903434038162231,15.0,157,22735.0,31351
2390848,healthy,C2986479,Healthy Control,0.7621602416038513,15.0,157,22735.0,31351
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,33.0,0,10521.0,18387
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,33.0,0,10521.0,18387
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,33.0,0,10521.0,18387
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,33.0,0,10521.0,18387
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,33.0,0,10521.0,18387
2748718,healthy,C3898900,Healthy,0.9904220700263977,54.0,2,25958.0,36513
2748718,healthy,C0452415,Healthy Eating,0.791326642036438,54.0,2,25958.0,36513
2748718,healthy,C2963171,Healthy Aging,0.7907637357711792,54.0,2,25958.0,36513
2748718,healthy,C0018684,Health,0.7903434038162231,54.0,2,25958.0,36513
2748718,healthy,C2986479,Healthy Control,0.7621602416038513,54.0,2,25958.0,36513
2748718,healthy,C3898900,Healthy,0.9904220700263977,54.0,3,25958.0,36513
2748718,healthy,C0452415,Healthy Eating,0.791326642036438,54.0,3,25958.0,36513
2748718,healthy,C2963171,Healthy Aging,0.7907637357711792,54.0,3,25958.0,36513
2748718,healthy,C0018684,Health,0.7903434038162231,54.0,3,25958.0,36513
2748718,healthy,C2986479,Healthy Control,0.7621602416038513,54.0,3,25958.0,36513
2775905,healthy,C3898900,Healthy,0.9904220700263977,22.0,51,7644.0,22822
2775905,healthy,C0452415,Healthy Eating,0.791326642036438,22.0,51,7644.0,22822
2775905,healthy,C2963171,Healthy Aging,0.7907637357711792,22.0,51,7644.0,22822
2775905,healthy,C0018684,Health,0.7903434038162231,22.0,51,7644.0,22822
