pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,patients,C0030705,patients,0.9821396470069885,2,166,13101,15507
2494616,patients,C0025360,mental patients,0.8382431268692017,2,166,13101,15507
2494616,patients,C1550655,Patient,0.8047217130661011,2,166,13101,15507
2494616,patients,C1705908,Patient,0.8047217130661011,2,166,13101,15507
2494616,patients,C0017313,caring patients,0.7855467796325684,2,166,13101,15507
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15,129,10521,12299
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15,129,10521,12299
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15,129,10521,12299
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15,129,10521,12299
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15,129,10521,12299
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15,383,8290,11062
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15,383,8290,11062
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15,384,8290,11062
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15,384,8290,11062
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15,384,8290,11062
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15,384,8290,11062
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15,384,8290,11062
3045463,idiopathic Parkinson's disease,C0030567,Idiopathic Parkinson's disease,0.9701851606369019,21,194,6018,9180
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21,369,5559,6387
3409150,smokers,C0337664,Smokers,0.9901642799377441,18,164,8569,9966
3409150,smokers,C0337671,ex smokers,0.9168155789375305,18,164,8569,9966
3409150,smokers,C3241966,Smoker,0.822004497051239,18,164,8569,9966
3409150,smokers,C0399478,Smokers keratosis,0.79575514793396,18,164,8569,9966
3409150,smokers,C0337666,cigar smokers,0.7600803375244141,18,164,8569,9966
3423412,Alzheimer disease,C0002395,ALZHEIMER DISEASE,0.9341862797737122,14,329,6223,8710
3423412,Alzheimer disease,C1364818,Alzheimer disease,0.9341862797737122,14,329,6223,8710
3423412,Alzheimer disease,C1418985,Alzheimer disease 3,0.9084566235542297,14,329,6223,8710
3423412,Alzheimer disease,C1843013,Alzheimer disease 3,0.9084566235542297,14,329,6223,8710
3423412,Alzheimer disease,C1418986,Alzheimer disease 4,0.9060426950454712,14,329,6223,8710
3423412,mild cognitive impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8,330,6223,8710
3423412,mild cognitive impairment,C0338656,cognitive impairment,0.8798452019691467,8,330,6223,8710
3423412,mild cognitive impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8,330,6223,8710
3447931,amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.972338080406189,20,371,7348,8813
3447931,amyotrophic lateral sclerosis,C1862939,Amyotrophic Lateral Sclerosis 1,0.95508873462677,20,371,7348,8813
3447931,amyotrophic lateral sclerosis,C1822695,amyotrophic lateral sclerosis 4,0.9438249468803406,20,371,7348,8813
3447931,amyotrophic lateral sclerosis,C1414860,amyotrophic lateral sclerosis 6,0.9394366145133972,20,371,7348,8813
3447931,amyotrophic lateral sclerosis,C2931786,Amyotrophic Lateral Sclerosis 6,0.9394366145133972,20,371,7348,8813
3510214,mal de debarquement syndrome,C1608983,Mal de debarquement syndrome,0.9310316443443298,20,410,12585,13447
3510214,mal de debarquement syndrome,C0853695,syndrome de,0.6530311703681946,20,410,12585,13447
3510214,mal de debarquement syndrome,C0878681,Dent syndrome,0.6516091823577881,20,410,12585,13447
3510214,mal de debarquement syndrome,C4303593,DEND syndrome,0.5567460060119629,20,410,12585,13447
3510214,mal de debarquement syndrome,C0039082,Syndrome,0.5411238670349121,20,410,12585,13447
3511796,smokers,C0337664,Smokers,0.9901642799377441,45,74,3425,5707
3511796,smokers,C0337671,ex smokers,0.9168155789375305,45,74,3425,5707
3511796,smokers,C3241966,Smoker,0.822004497051239,45,74,3425,5707
3511796,smokers,C0399478,Smokers keratosis,0.79575514793396,45,74,3425,5707
3511796,smokers,C0337666,cigar smokers,0.7600803375244141,45,74,3425,5707
3701149,adolescents with transient auditory hallucinations,C0233762,auditory hallucinations,0.661284863948822,12,345,11779,14691
3701149,adolescents with transient auditory hallucinations,C0018524,hallucinations,0.5278156399726868,12,345,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C0012236,22q11.2 deletion syndrome,0.713272213935852,13,346,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C0220704,22q11.2 Deletion Syndrome,0.713272213935852,13,346,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C2936346,22q11 Deletion Syndrome,0.6466574668884277,13,346,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C4518343,Distal 22q11.2 microdeletion syndrome,0.6189098954200745,13,346,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C1853490,Deletion 22q13 Syndrome,0.5830057859420776,13,346,11779,14691
3742334,marijuana abuse,C0024809,Marijuana abuse,0.9404541850090027,10,259,7512,11306
3742334,marijuana abuse,C0024810,MARIJUANA USE,0.7966894507408142,10,259,7512,11306
3742334,marijuana abuse,C4084815,Use Marijuana,0.7966894507408142,10,259,7512,11306
3742334,marijuana abuse,C4316909,marijuana use,0.7966894507408142,10,259,7512,11306
3742334,marijuana abuse,C0024808,marijuana,0.7473585605621338,10,259,7512,11306
3777673,Obsessive–compulsive disorder,C0028768,OBSESSIVE COMPULSIVE DISORDER,0.9671520590782166,19,408,6638,9015
3777673,Obsessive–compulsive disorder,C4760315,Obsessive compulsive disorder,0.9671520590782166,19,408,6638,9015
